Group,Landform/Region,Publication,Isotope,Sample_name,Scaling,Latitude_DD,Longitude_DD,Elevation_m,Pressure,Flag,Thickness,Density,Shielding,Erosion rate,10Be_Conc,10Be_standard,26Al_Conc,26Al_standard,Attenuation length,Depth to Top of Sample,Year Collected,Latitude_Uncertainty,Longitude_Uncertainty,Elevation_Uncertainty,Pressure_Uncertainty,Thickness_Uncertainty,Density_Uncertainty,Shielding_Uncertainty,Erosion_Uncertainty,10Be_Uncertainty,26Al_Uncertainty,Attenuation_Uncertainty,Depth_Uncertainty,Year_Uncertainty,SH_Mean,SH_SEM,SH_Sample_Name,CRONUS_Age_2020_03_27,CRONUS_Internal_2020_03_27,CRONUS_External_2020_03_27
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA03,LM,42.66576,0.640593,2396,,Elevation,2.5,2.69,0.98,0,332000,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,11800,0,,,,54.03,0.65,,14,0.48672,1.2
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA04,LM,42.661984,0.640907,2560,,Elevation,2.5,2.69,0.99,0,335900,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10500,0,,,,57.6,0.67,,12.6,0.39247,1.1
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA11,LM,42.656626,0.639145,2789,,Elevation,2.5,2.69,0.98,0,127800,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,4300,0,,,,61.93,0.65,,4.22,0.13568,0.34
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA12,LM,42.655786,0.640751,2817,,Elevation,2.5,2.69,0.98,0,164300,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,6300,0,,,,59.23,0.71,,5.3,0.1986,0.45
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA07,LM,42.658923,0.643975,2665,,Elevation,2.5,2.69,0.98,0,331400,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10500,0,,,,51.13,0.49,,12,0.36997,1
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA05,LM,42.665929,0.644418,2342,,Elevation,2.5,2.69,0.98,0,194300,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10200,0,,,,57.8,0.73,,8.36,0.45588,0.82
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,MA06,LM,42.668177,0.644724,2283,,Elevation,2.5,2.69,0.98,0,309000,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,13300,0,,,,49.5,1.04,,14,0.5906,1.2
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,AN02,LM,42.666343,0.667745,2050,,Elevation,2.5,2.69,0.95,0,251600,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,23000,0,,,,48.6,1.18,,13.8,1.2447,1.6
Calibration dataset,Maladeta-Aneto,Crest et al. (2017),10Be,AN01,LM,42.670054,0.665129,2020,,Elevation,2.5,2.69,0.95,0,268600,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,18000,0,,,,47.2,0.91,,15,0.96852,1.5
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA15,LM,42.764276,1.43311,1678,,Elevation,2.5,2.69,0.99,0,233700,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,14100,0,,,,46.6,0.89,,16,0.95428,1.6
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA16,LM,42.766455,1.428521,1741,,Elevation,2.5,2.69,0.96,0,243100,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,11900,0,,,,46.9,0.94,,16.3,0.78926,1.5
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA20,LM,42.751657,1.403577,1837,,Elevation,2.5,2.69,0.94,0,189300,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10400,0,,,,51.64,0.95,,12.2,0.66312,1.2
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA19,LM,42.751657,1.403577,1837,,Elevation,2.5,2.69,0.94,0,133600,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,8000,0,,,,55.37,0.76,,8.49,0.53014,0.87
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA17,LM,42.753804,1.407713,1885,,Elevation,2.5,2.69,0.97,0,204400,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,18600,0,,,,51.9,0.9,,12.3,1.1136,1.5
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA18,LM,42.754527,1.407939,1890,,Elevation,2.5,2.69,0.96,0,194700,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,14300,0,,,,53.07,0.99,,11.8,0.86253,1.3
Calibration dataset,Querol,Pallàs et al. (2010),10Be,FUL03,LM,42.513352,1.824614,1476,,Elevation,4.3,2.69,0.94616,0,249200,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,42250,0,,,,42.9,0.99,,21.7,3.3785,3.7
Calibration dataset,Querol,Pallàs et al. (2010),10Be,LAT01,LM,42.469584,1.882155,1279,,Elevation,1.5,2.69,0.98082,0,225076,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,31530,0,,,,42.7,1.07,,21.5,2.7512,3.2
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA21,LM,42.456259,1.889945,1341,,Elevation,2.5,2.69,0.99462,0,259263,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,33400,0,,,,39.97,0.94,,23.4,2.8108,3.3
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA20,LM,42.45624,1.889848,1349,,Elevation,2.5,2.69,0.99462,0,268418,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,40900,0,,,,39.67,0.86,,24,3.3877,3.8
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA19,LM,42.456313,1.88902,1354,,Elevation,2.5,2.69,0.99462,0,280154,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,33275,0,,,,38.9,0.94,,25,2.7151,3.3
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC25,LM,42.610785,1.95287,2356,,Elevation,2.5,2.69,0.9,0,236400,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,38500,0,,,,52.14,1.41,,11.1,1.8544,2.1
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC26,LM,42.610785,1.95287,2357,,Elevation,2.5,2.69,0.77,0,223300,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,27500,0,,,,49.51,1.38,,12.3,1.4984,1.8
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC27,LM,42.610785,1.95287,2360,,Elevation,2.5,2.69,0.97,0,280800,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,63300,0,,,,53.51,1.09,,12.2,2.7305,2.9
Calibration dataset,Querol,Pallàs et al. (2010),10Be,QRS01,LM,42.481606,1.863813,1346,,Elevation,1.5,2.69,0.9741,0,239247,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,48533,0,,,,41.95,1.21,,21.8,4.0819,4.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM01,LM,42.470436,1.841924,1861,,Elevation,1.3,2.69,0.99673,0,914429,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,23773,0,,,,23.41,0.98,,51.8,1.4183,4.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM02,LM,42.47011,1.841772,1863,,Elevation,2.5,2.69,0.99673,0,780913,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,20483,0,,,,26.48,1.02,,44.4,1.1369,3.6
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM03,LM,42.469819,1.841498,1863,,Elevation,1.5,2.69,0.99673,0,762888,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,19928,0,,,,25.81,1.12,,43.1,1.079,3.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC05,LM,42.472798,1.839521,1935,,Elevation,1,2.69,0.99804,0,382823,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11470,0,,,,40.58,1.06,,21.1,0.59003,1.6
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC04,LM,42.471917,1.838795,1945,,Elevation,2.5,2.69,0.99941,0,316914,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,9084,0,,,,45.15,0.92,,17.7,0.49441,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC06,LM,42.473989,1.838793,1937,,Elevation,1.3,2.69,0.99804,0,321389,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,10012,0,,,,45.82,0.98,,17.9,0.542,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC03,LM,42.469542,1.837257,1951,,Elevation,2,2.69,0.99804,0,323294,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,10543,0,,,,45.82,1.02,,18,0.56737,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC02,LM,42.469225,1.836217,1956,,Elevation,2,2.69,0.99929,0,395965,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11441,0,,,,41.58,1.2,,21.6,0.5938,1.7
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC01,LM,42.470459,1.837082,1953,,Elevation,1,2.69,0.99804,0,445374,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,12677,0,,,,40.08,1.03,,24.1,0.65626,1.9
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,LAF03,LM,42.463787,1.815251,2168,,Elevation,2.6,2.69,0.99923,0,410247,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11303,0,,,,45.49,1.22,,19.6,0.49555,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,LAF01,LM,42.463459,1.813993,2174,,Elevation,3.6,2.69,0.99923,0,461423,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,32059,0,,,,40.32,1.1,,22.8,1.4757,2.3
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,LAF04,LM,42.460505,1.802761,2213,,Elevation,1.5,2.69,0.99923,0,576105,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,15508,0,,,,38.45,1.15,,26,0.67084,2.1
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OMA04,LM,42.466828,1.794236,2267,,Elevation,2.3,2.69,0.99883,0,419965,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11755,0,,,,45.49,1.05,,18.7,0.49451,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OMA02,LM,42.466936,1.794197,2268,,Elevation,2.1,2.69,0.99883,0,456904,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,12445,0,,,,42.92,1.44,,20.2,0.5027,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OMA03,LM,42.466973,1.794269,2267,,Elevation,1.8,2.69,0.99883,0,427369,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11684,0,,,,46.76,1.26,,19,0.48482,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OMA01,LM,42.466991,1.794354,2267,,Elevation,1.6,2.69,0.99883,0,440089,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,12088,0,,,,45.95,1.34,,19.5,0.49205,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,IMA03,LM,42.473552,1.7948,2287,,Elevation,1.4,2.69,0.99684,0,395693,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11095,0,,,,48.86,1.07,,17.4,0.47317,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,IMA01,LM,42.473464,1.794948,2289,,Elevation,1.8,2.69,0.99684,0,387804,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11057,0,,,,47.22,0.68,,17.1,0.47294,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,IMA02,LM,42.47329,1.79472,2286,,Elevation,1.2,2.69,0.99684,0,356550,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,9993,0,,,,51.02,1.01,,15.7,0.43053,1.3
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,IMA04,LM,42.475389,1.796444,2270,,Elevation,2.1,2.69,0.99479,0,389404,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11066,0,,,,47.79,1.09,,17.4,0.48135,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,IMA05,LM,42.475587,1.796488,2290,,Elevation,2.2,2.69,0.99479,0,397123,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,10688,0,,,,48.22,1.22,,17.6,0.45866,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,CPM03,LM,42.559462,1.793562,2032,,Elevation,1.5,2.69,0.99895,0,316331,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,45771,0,,,,50.09,0.82,,17.2,2.3253,2.7
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,CPM01,LM,42.558983,1.791622,2039,,Elevation,1.8,2.69,0.99895,0,316159,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,43726,0,,,,48.12,1.09,,17.2,2.2145,2.6
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,CPM02,LM,42.559127,1.791668,2038,,Elevation,1.3,2.69,0.99895,0,292339,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,47122,0,,,,49.26,0.76,,15.8,2.4166,2.7
Calibration dataset,Noguera Ribagorçana,Pallàs et al. (2010),10Be,CAS03,LM,42.543924,1.824418,1681,,Elevation,4.5,2.69,0.98175,0,248063,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,27697,0,,,,47.52,1.05,,18.1,1.875,2.3
Calibration dataset,Noguera Ribagorçana,Pallàs et al. (2006),10Be,STA01,LM,42.468128,0.712232,998,,Elevation,2.5,2.69,0.994,0,149000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,21000,0,,,,48.84,0.82,,17.9,2.3616,2.7
Calibration dataset,Noguera Ribagorçana,Pallàs et al. (2006),10Be,SMV01,LM,42.484471,0.717573,981,,Elevation,2.5,2.69,0.986,0,73000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,15000,0,,,,59.84,0.74,,9,1.8303,2
Calibration dataset,Noguera Ribagorçana,Pallàs et al. (2006),10Be,RLH01,LM,42.59806,0.763063,1472,,Elevation,2.5,2.69,0.943,0,213000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,54000,0,,,,49.6,0.87,,18.6,4.3195,4.5
Calibration outlier,Malniu,Pallàs et al. (2010),10Be,ICM04,LM,42.469609,1.841161,1864,,Elevation,1.5,2.69,0.99673,0,1428797,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,36047,0,,,,24.98,1.17,,81.7,2.1532,7.1
Calibration outlier,Têt,Crest et al. (2017),10Be,CAC28,LM,42.610785,1.95287,2356,,Elevation,2.5,2.69,0.96,0,637300,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,33400,0,,,,48.71,1.53,,27.2,1.3549,2.4
Calibration new,Noguera Ribagorçana,Pallàs et al. (2006),10Be,MUL01,LM,42.62988,0.74615,1713,,Elevation,2.5,2.65,0.946,0,205000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,35000,0,,,,46.73,0.85,MUL01,15,2.3587,2.6
Calibration new,Noguera Ribagorçana,Pallàs et al. (2006),10Be,MUL04,LM,42.63011,0.74555,1716,,Elevation,2.5,2.65,0.939,0,204000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,23000,0,,,,46.33,0.65,MUL04,15,1.558,1.9
New moraine samples,Soum d'Ech,Rodés (2008),10Be,ECH02,LM,43.0858,-0.088,778,,Elevation,3,2.65,0.996442575,0,428315,NIST_Certified,0,KNSTD,,0,2008,,,,,,,,,322204,0,,,,,,,60,43.2483,44
New moraine samples,Soum d'Ech,Rodés (2008),10Be,ECH03,LM,43.0862,-0.0873,779,,Elevation,1.67,2.65,0.996442575,0,122278,NIST_Certified,0,KNSTD,,0,2008,,,,,,,,,24707,0,,,,38.863,1.10689589,L-32,17.2,3.2758,3.5
New moraine samples,Soum d'Ech,Rodés (2008),10Be,ECH04,LM,43.0865,-0.0867,781,,Elevation,2,2.65,0.996442575,0,119165,NIST_Certified,0,KNSTD,,0,2008,,,,,,,,,22506,0,,,,38.769,1.051665795,L-55,16.8,2.9954,3.3
New moraine samples,Soum d'Ech,Rodés (2008),10Be,ECH01,LM,43.0863,-0.087,776,,Elevation,1.3,2.65,0.996442575,0,140881,NIST_Certified,0,KNSTD,,0,2008,,,,,,,,,25656,0,,,,42.43,0.98,L-58,19.7,3.2497,3.6
New moraine samples,Arànser Left,New,10Be,SAL-01,LM,42.428293,1.629977,2000,,Elevation,1,2.7,0.998511255,0,329684.9861,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10790.71189,0,,,,47.57,0.83,SAL-01,17.6,0.55892,1.5
New moraine samples,Arànser Left,New,10Be,SAL-02,LM,42.427345,1.632076,1983,,Elevation,1,2.7,0.998721003,0,357803,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,11668.53467,0,,,,45.07,0.84,SAL-02,19.2,0.58295,1.5
New moraine samples,Arànser Left,New,10Be,SAL-03,LM,42.426992,1.632619,1975,,Elevation,3,2.7,0.998721003,0,387340,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,12690.71303,0,,,,44.07,0.82,SAL-03,21.1,0.64562,1.7
New moraine samples,Arànser Left,New,10Be,SAL-04,LM,42.425436,1.635838,1933,,Elevation,0.75,2.7,0.998478086,0,323018,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,10565.32705,0,,,,47.57,0.84,SAL-04,18,0.56961,1.5
New moraine samples,Arànser Left,New,10Be,SAL-05,LM,42.424005,1.63892,1912,,Elevation,1.75,2.7,0.998478086,0,297600,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,15534.16178,0,,,,48.9,0.77,SAL-05,17,0.86395,1.6
New moraine samples,Arànser Left,New,10Be,SAL-06,LM,42.423687,1.639474,1908,,Elevation,1.5,2.7,0.998559547,0,337695.3556,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,11573.49915,0,,,,44.53,0.74,SAL-06,19.2,0.61313,1.5
New moraine samples,Arànser Left,New,10Be,SAL-07,LM,42.422928,1.641532,1896,,Elevation,0.75,2.7,0.998559547,0,291749.4361,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,9567.752946,0,,,,47.43,0.96,SAL-07,16.7,0.53662,1.4
New moraine samples,Arànser Left,New,10Be,SAL-08,LM,42.422317,1.644718,1863,,Elevation,2,2.7,0.998559547,0,289377.7778,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,9686.040513,0,,,,47.7,0.9,SAL-08,17.1,0.55892,1.4
New moraine samples,Arànser Left,New,10Be,SAL-09,LM,42.421502,1.648127,1820,,Elevation,1.5,2.7,0.99891794,0,343424.4895,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,15317.77153,0,,,,44.77,0.8,SAL-09,20.7,0.85205,1.7
New moraine samples,Arànser Left,New,10Be,SAL-10,LM,42.421304,1.648933,1808,,Elevation,1.5,2.7,0.99891794,0,371165.895,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,12154.92587,0,,,,43.03,0.95,SAL-10,22.4,0.71265,1.8
New moraine samples,Outer Pleta Naua,Pallàs et al. (2006),10Be,OPN01,LM,42.6364,0.74,2217,,Elevation,2.5,2.65,0.953774296,0,260439,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,25886,0,,,,,,,13.2,1.266,1.6
New moraine samples,Outer Pleta Naua,Pallàs et al. (2006),10Be,OPN02,LM,42.6364,0.7406,2197,,Elevation,2.5,2.65,0.958279639,0,245736,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,34395,0,,,,51.684,0.49687755,OPN-04,13,1.6931,2
New moraine samples,Outer Pleta Naua,Pallàs et al. (2006),10Be,OPN03,LM,42.6364,0.7408,2195,,Elevation,2.5,2.65,0.958279639,0,244840,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,23893,0,,,,,,,12.6,1.1764,1.5
Other,Inner Pleta Naua,Pallàs et al. (2006),10Be,IPN01,LM,42.64,0.74,2384,,Elevation,2.5,2.65,0.888,0,130000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,20000,0,,,,,,,6.28,0.83192,0.94
Other,Inner Pleta Naua,Pallàs et al. (2006),10Be,IPN02,LM,42.64,0.74,2378,,Elevation,2.5,2.65,0.888,0,328000,NIST_Certified,0,KNSTD,,0,2006,,,,,,,,,46000,0,,,,,,,16,2.131,2.5
